"id","overall","likes","dislikes"
"426","y a mieux mais parfum super!","sent hyper bon,joli flacon,pas cher","le démêlage c'est pas ça du tout!obligée de rajouter un après shampooing ou un masque car j'ai les cheveux mi longs colorés et très épais"
"427","","- il sent très bon - c'est dop donc à des prix abordables","- ne nourris pas forcément suffisamment des cheveux assez secs, dommage ! "
"428","","son odeur est agréable et se rince facilement",""
"429","dommage qu il n y ai pas d après shampooing","parfum très agréable cheveux soyeux et brillants",""
"430","Super shampoing qui fait super bien son job avec un prix mini et une odeur exquise ... Foncez les filles !!!!!!","Odeur merveilleuse de rose très féminine ! Flacon rose super girly et gros conditionnement Lave bien les cheveux et les laisse très doux et parfumés jusqu'au lendemain","Je n'en vois pas pour l'instant, à voir sur le long terme ..."
"431","","- odeur très agréable, douce, propre  - mousse dense, lave bien, facile à rincer - n'emmêle pas les cheveux","RAS "
"432","Bon shampooing dans l'ensemble qui lave correctement se rince facilement et sens très bon .très jolie présentation . Il démêle bien les longeurs .tient Se promesses mais néanmoins ne convient pas à mon cuir chevelu sensibile .Malgré cette inconvénient je le recommande car il peut convenir à d'autres qui ont un cuir chevelu moins sensible que le moins. Dons attention à celles qui ont tendance à avoir De pellicules.pour ma part je préfère celui aux oeufs et au vu de cet inconvénient je ne le racheterais pas. ","Très jolie flacon rose bonbon .mousse bien , lave bien et se rince facilement. Démêle les cheveux longs et les laisse tout doux et satinés. Grosse contenance. PH Doux .sans silicone ,parabens. ","Après 24h mon cuir chevelu me démange et j'ai comme des petites pelicules dut à ce 2 en 1 je pense que la formule ne convient pas à mon cuir chevelu ."
"433","vraiment un très bon shampooing à prix tout doux","sent super bon , les cheveux sont démélés et tout doux ,il laisse les cheveux brillant ,le prix vraiment pas cher",""
"434","Très satisfaite je le recommande à tous ceux où celles qui comme moi on les cheveux qui s'emmêlent et rêchent , il est top, il fait très bien son job .Adopté","Je l'ai trouvé au supermarché j'ai remarqué que c'était une nouveauté je l'ai donc senti et j'ai trouvé l'odeur exquise et là ni une ni deux dans mon caddie et je l'ai testé le soir même et je vous assure que JE ne m'en passe plus il laisse les cheveux tout doux, plus lisse , visiblement plus brillant et l'odeur qui reste sur les cheveux ce shampooing est une superbe découverte . Et en plus il coûte peu cher et le la bouteille est assez grande ; Je suis conquise. ","Aucun pour moi"
"435","Shampoing nourrissant qui sent super bon ! Dèmelage facile et laisse les cheveux souple et brillant. J'adore","Nourrit les cheveux - Dèmele les cheveux - Odeur ","Aucun !"
"436","Je n'ai pas eu les cheveux plus doux mais ne me les a pas rendu plus secs donc pour moi c un bon produit malgré la composition qui est a revoir malgré quelques ingrédients intéressants","Lo'deur Dompte et discipline les cheveux  Pas de nud    ","Composition !!!!!!!!!"
"437","","Produit anglais très bon pour les cheveux frisés à tendance secs. Lave parfaitement les cheveux.","L'odeur n'est pas exceptionnelle."
"438","Je ne le rachèterais pas, pour moins cher on peut trouver de bien meilleur produit.","La contenance, 900 ml ça laisse du temps! Il mousse aussi très bien des le premier shampoing.","Odeur sans intérêt, je le trouve assez agressif, il assèche les cheveux, très bien en dépannage finalement."
"439","Abordable. On m'a dit que dans les shampoing ''cheap'' c'était une marque qui utilisait de bons ingrédients donc j'ai voulu essayer. La bouteille est vraiment très grosse et je veux pas gaspiller donc je l'utilise en alternance avec un autre shampoing. ","----","Rend mes cheveux raplaplat. Ils sont ternes lorsque je l'utilise et je n'arrive pas à bien les coiffer."
"440","shampoigs mauvaise qualitee jen ai as 2dollards meilleur que ca..le shampoings sec nest pas geniale aussi klorane est bien meilleur","rien ","pris"
"441","","trés gros format ","se rince difficilement"
"442","je déconseille ce produit, j'compte le jetter très bientot... des intéressés ?? lol","900 ml donc on est tranquille pendant un moment..","les cheveux ne sont pas plus disciplinés, mes cheveux sont secs de nature et ça n'arrange rien, je suis obligée d'utiliser un masque ou apres shampoing apres !"
"443","Je déconseille ! ","Bof, à part son prix, j'en vois pas d'autres","- son odeur, vrm c'est pas de top - son innefficacité - pas plus lisse et encore moins soyeux"
"444","J'habite au Québec donc il est très facile de ce le procurer.","Vraiment pas cher! Le rapport qualité prix est excellant. J'aime beaucoup cette gamme de produits.","Il est vrai qu'il fait beaucoup trop de mousse."
"445","Franchement je le DE-CONSEILLE à toutes celles qui veulent l'acheter","Heeeeeeeeeeeuuuuu ..... ça lave mal mais ça lave ! ","- trop de mousse à mon goût  - lave pas assez  - à courts termes ça va mais à longs termes c'est la cata !  - pas disponible en France  Un final très décevant : cheveux toujours aussi secs ( même plus ! ) "
"446","Perso je ne recommanderais pas ce produit","","les cheveux regraisse tres rapidement"
"447","Très déçue de ce shampooing, je ne le recommande vraiment pas (c'est même l'un des pires que j'ai essayé) ! Ne vous laissez pas avoir pas son petit prix !!!","- Vendu en flacon de 900 ml pour un assez petit prix (aux alentours de 5 ou 6 si je me souviens bien)","- Ouh là...Alors par où commencer ? Tout d'abord, ce produit n'est pas disponible en France (pour ma part, je l'ai acheté en Espane). Sa composition est horrible tout comme celles des shampooings qu'on trouve chez nous. La texture est vraiment très très très épaisse ! Du coup, lorsqu'on émulsionne, on se retrouve avec une tonne de mousse sur le crâne. D'ordinaire, j'aime bien quand ça mousse mais là quand même il y a des limites ! Vu que la mousse est bien dense et épaisse, on met 3 plombes à tout rincer et le cheveu est déjà ""lourd"". Une fois les cheveux secs, c'est la cata : il ne sont pas réparés du tout et sont même plus secs qu'avant. A long terme, ce shampooing abîme carrément les cheveux. A fuir !"
"448","J'ai pris un gros risque en prenant immédiatement le format 1 L mais je ne regrette pas, j'ai horreur des formats 250 ml  Reste quand même cher pour ce que c'est, je m'attendais à beaucoup mieux mais c'est loin d'être un mauvais produit. Possible que je rachète un jour mais il ne m'emballe pas plus que ça, y'en a tellement d'autres à tester!","Texture épaisse Élimine bien la saleté, les odeurs sur le cuir chevelu  N'assèche pas les cheveux pour ma part Il ne donne pas de nuds comme certains shampoings, ne rends pas les cheveux rêches Cheveux un peu plus doux qu'avec la plupart des shampoings, mais pas exceptionnelle non plus sauf après un brushing ou là on voit la différence niveau douceur avec ce shampoing.","Odeur passable je trouve, je m'attendais à une odeur beaucoup plus élaborée d'une marque comme Redken, une odeur qui ne se démarque pas, banal, qui ne reste pas sur les cheveux, et qu'on sent à peine..  Si l'odeur avait été meilleur j'aurais racheter sans hésiter."
"449","Comme beaucoup de shampoings, il contient des silicones. Je pense que c'est ce qui fait qu'il me rend les cheveux poisseux à chaque fois...","Rend effectivement les cheveux souples et doux.","Graisse les cheveux.."
"450","Ayant un cuir chevelu sensible avec des squames ce shampoing ne m'a pas du tout agressé même en usage fréquent ","Odeur de bonbon et lave en douceur les cheveux fins et fragiles ","Ne lave peut être pas assez avec un shampoing il faudrais en faire 2 pour un cuir chevelu gras "
"451","","Lave bien","Impression d'avoir des cheveux poisseux"
"452","","produit très concentré. Cheveux brillants et faciles à coiffer","le prix un peu élévé"
"453","tres bon rapport qualité prix à associé avec le masque pour un resultat encorre meilleur","rend le cheveux doux et brillant reelle efficacité a long terme de plus une petite quantité suffit donc meme si le prix est élevé il dure tres longtemps","le packaging et l odeur trop discrete"
"454","Je suis déçue de ce shampoing car il me fait des cheveux rêches et incoiffables.. Je trouve ça honteux pour une aussi grande marque. Je rachète pas. déjà faudra le finir parce qu'il m'a coûté cher pour un shampoing..","Texture agréable Sent bon Lave bien, MAIS","Pas nourrissant pas naturel pas efficace"
"455","Ce shampoing m'a été d'une grande aide pour retrouver de jolis cheveux. La bouteille m'a duré 2 mois en faisant 1/2 shampoing(s) par semaine. Je le rachèterai à coup sûr mais cette fois-ci avec son après-shampoing pour avoir encore plus de résultats. ","Promesses tenues : beaucoup moins de fourches, les cheveux sont moins rêches, plus de brillance ... Un des meilleurs shampoings que j'ai pu tester jusque là.","Aucun ! "
"456","Je rachèterais sans hésiter!","Cheveux très doux après utilisation, odeur génial ça sent le coiffeur, cheveux démêlée ","Attention pour les personnes ayant les cheveux à tendance grasse"
"457","Un bon produit et une bonne marque.","Tient ses promesses, c'est-à-dire adoucir les cheveux. Sent bon. Facile et agréable à utiliser","Peut être pas assez hydratant pour mes cheveux souples et ondulés."
"458","L'essayer c'est l'adopter ! Les cheveux sont doux , brillants et sentent divinement bons !  On voit rapidement que ce shampoing est gorgé d'actifs nourrissants .  Je le rachèterai sans hésiter . ","Une texture crémeuse , les cheveux ultra secs n'attendaient que lui ! ","Devrait exister en plus grand format , j'ai beaucoup de cheveux , ils sont en plus très épais et je termine vite le flacon . "
"459","Je le recommande","il nourrit et répare les cheveux","/"
"460","J'ai voulu essayer cette marque mais je suis déçue, elle n'est pas à la hauteur de mes attentes, dommage","Lave les cheveux, c'est un shampoing mais...","Pas beaucoup d'efficacité sur la douceur la nutrition et la brillance"
"461","C'est une marque Génial !  C'est américain et c'est vraiment adaptée pour chaque à types de cheveux ","Il remourit parfaitement les cheveux sec et redonne de la brillance ","Son prix"
"462","","","Ne se trouve pas facilement, seulement dans quelque salon de coiffure ou sur internet"
"463","déçue de ce produit ","odeur très agréable lave bien les cheveux","pas assez nourrissant pour mes cheveux secs et bouclés"
"464","Très bon shampooing qui tiens ses promesses. Redken est l'une de mes marque fétiche et je suis toujours conquise. Je recommande","Nourrit bien  Donne de la douceur Bon pouvoir lavant",""
"465","","bon odeur",""
"466","Même si il nourrit bien les cheveux, un soins n'est pas de trop après les 2 shampooings. Une noix suffit pour des cheveux mi-longs. Il se rince bien et laisse une odeur agréable sur mes cheveux.","Un shampooing idéal pour les cheveux colorés. Il les rend brillants et souples et le démélage est facile. Les cheveux sont lisses après utilisation et une fois secs, et je les sens nourris.","Il est un peu cher . Et mes cheveux ont tendance à graisser un peu rapidement. 0 sec, le shampooing est un peu fort, mais cette odeur s'atténue avec l'eau."
"467","Mousse super bien, dés le rinçage on sent que les cheveux ont une nouvelle texture. J'adore.","",""
"468","Le meilleur shampooing que je connaisse. J'alterne quelque fois avec le redken oil detox. Cette marque est parfaite pour mes cheveux.","Incontestablement le produit le plus efficace que j'ai connu en shampooings. Avec celui-ci, je peux laver mes cheveux seulement deux ou trois fois par semaine.  Son prix est élevé, mais il est très économique car il suffit de très peu de produit à chaque utilisation. il se rince très facilement.",""
"469","Décoloration fut très difficile pour la fibre de mes cheveux, j'avais les cheveux secs et hyper rêches. J'ai utilisé ce shampoing et son conditionneur, et wow!!! Cheveux très DOUX. ","Donne vraiment de bons résultats si utiliser avec le conditionneur de la même gamme.","aucun"
"470","J'aime beaucoup ce produit","J'adore l'odeur qui reste longtemps sur les cheveux Rend les cheveux doux Mousse bien","A utiliser sur les longueurs et pointes si vous avez les racines qui régraissent vite"
"471","Je ne racheterais pas . La gamme kerastase est bien meilleur","Adoucie les cheveux , mais ' légèrement ' seulement. ","Odeur pour la part horrible, comme une odeur de coloration"
"472","bon produit pour cheveux secs","agréable à utiliser odeur grand bouteille ","prix"
"473","J'aime changer de shampooing mais je pense que je le rachèterai","Laisse les cheveux très doux Odeur agréable","Mes cheveux regraissent plus vite que d'habitude avec ce shampooing Compo un peu chimique"
"474","Une de mes gammes de shampooings/soins préférés pour cheveux secs ","- rend les cheveux incroyablement doux (et encore plus si suivi du masque de la même marque) ! - odeur très agréable ","- le prix  - les cheveux regraissent assez vite mais j'ai les cheveux mixtes"
"475","Très bon produit","-Odeur -Bon pouvoir lavant -Ne dessèche pas","-Prix -A compléter avec un soin pour plus d'efficacité"
"476","Un de mes shampooing préféré","Rend les cheveux très très doux  Odeur très agréable Mousse bien et se rince facilement","Aucun"
"477","","Laisse les cheveux doux et brillants. Je l'utilise en cure de temps en temps si mes cheveux sont trop asséchés, les rend doux et brillants.","En cas de racines à tendance grasse ne l'utiliser que sur les longueurs sinon regraissent trop vite."
"478","Je le rachèterai.","",""
"479","Je rachèterai probablement cette gamme! Même si le prix est un peu élevé la promesse est tenue! ","L'odeur agréable, la texture, utilisé avec l'après shampoing de la même gamme l'effet est notable! Très intéressant pour des cheveux méchés, décolorés et abimés par les brushings fréquents...","Composition un peu chimique... Réparation peut être un peu trop en surface et pas assez en profondeur...  Peu efficace si utilisé seul."
"480","Autant je suis adepte des produits de la marque (notamment les masques qui ont un grand pouvoir nutritif), autant ce shampoing... Je ne suis pas convaincue! Je préfère encore utiliser une bonne huile en avant shampoing ou un bon masque, et utiliser un shampoing ""normal""","Lave les cheveux? (encore heureux) Sent bon...","...mais : laisse les cheveux gras en racine"
"481","","Laisse les cheveux brillant et doux Très efficace Bonne odeur","Peu rendre les cheveux gras "
"482","Produit utilisé en variant avec mon autre chouchou, le Real Control, de Redken également. Je l'utilise quand mes pointes commencent à devenir sèches avant d'aller chez le coiffeur, ou en hiver. Et mes cheveux s'en portent tellement mieux...!","Lave très bien les cheveux. Les cheveux sont doux et incroyablement légers. Produit qui tient ses promesses : les cheveux sont nourris, doux, restent légers jusqu'au lavage suivant et peuvent ainsi prendre tout leur mouvement naturel.","Toujours un peu cher... Mais c'est le prix de la qualité ! Car franchement cette marque est nettement au-dessus de tous les produits de grande surface."
"483","J'ai enfin compris la différence entre les shampoings haute qualité et les shampoings grande surface avec ce produit! les cheveux sont tout de suite propres, ils sont rincés facilement, pas de film terne au séchage, juste de la douceur, de la souplesse...une odeur délicate, pas entêtante....Un must!","- pouvoir lavant - odeur douce et propre - rend le cheveu très doux, all soft","- prix de la marque "
"484","très bon shampoing qui à véritablement nourrit mes cheveux abîmés.","cheveux agréable au toucher, brillant et bien hydraté.","cheveux fin à alterner avec un shampoing doux ou moins nourrissant car sinon rend les cheveux gras. "
"485"," Je l ai eu dans une beauté box, mais je recherche déjà les points de ventes pour le renouveler La texture est douce, l odeur est délicieuse (fait penser à des bonbons, mais sans être écurant) Les cheveux sont doux, souples et non alourdis Ils ne rengraissent pas plus vite qu avec un autre shampoing (je me lave les cheveux tous les 2 a 3 jours) ","","Ne se vend pas en grande ou moyenne surface a priori, je regarde sur les site internet pour le trouver"
"486","Très bon shampoing mais pas exceptionnel non plus (niveau compo notamment), je l'ai reçu dans une box et je ne l'achèterai pas ","-Odeur très agréable qui rappelle le miel -Texture onctueuse qui mousse bien -les cheveux sont plus doux et plus brillants","-Le prix"
"487","hâte d'essayer les autres produit de cette marque.","c'est LE shampoing qu'il me faut, il est parfait ! mes cheveux sont au mieux de leur forme quand je l'utilise. j'aime aussi l'odeur (rare pour un shampoing)","beaucoup trop cher. "
"488","je l'utilise avec le conditionner et le masque et j'en suis plus que satisfaite, il lisse mes cheveux sans brushing et les rend doux et brillants. J'attend quand même de trouver une bonne offre pour racheter la gamme!","tres efficace, lisse, soigne ...","PRIX"
"489","ce shampooing rend les cheveux tout doux et send très bon - à long terme il soigne bien mes cheveux longs","Odeur texture efficacité","prix"
"490","J'aime beaucoup ce shampoing même si je le trouve un peu cher.","Texture agréable. Il suffit de peu de produit donc la bouteille dure longtemps. Mousse bien. Après rinçage, les cheveux sont vraiment doux et ça se confirme après séchage. ","Le produit reste cher !"
"491","Je n'ai pas vu de différence par rapport à mon shampoing habituel. Du coup je ne le rachèterais pas","L'odeur La texture Lave bien","Contient des silicones. Le prix"
"492","Tres bonne marque, mais ce produit m'a déçu sur certains points. Il m'assèche les cheveux après le lavage, cependant il lave correctement les cheveux. Je ne sais pas si je le rachèterai.","",""
"493","Très bon produit, je vois vraiment la différence par rapport à d'autres shampoings! Je suis fan de l'odeur! C'est un shampoing que je rachèterais si je tombe sur une bonne promo","L'odeur est à tomber! je ne m'en lasse pas! Dés la 1ère utilisation mes cheveux étaient tous doux, et tous beaux!  ","Peut-être le prix"
"494","Shampoing reçu dans une BOX, j'ai été tout de suite séduite par l'odeur, produit efficace, cheveux nourris et beaux! :) Je le rachèterai à l'occasion! :)","Odeur très agréable, cheveux nourris, brillant","le prix"
"495","Excellent shampoing pour cheveux secs, il nourrit vraiment les cheveux, j'avais reçu ce shampoing avec une box beauté et je suis vraiment satisfaite de ce produit, qui est très efficace !","Lave bien se rince bien Il nourrit les cheveux secs, on voit une différence dés la 1ere utilisation ! On a l'impression qu'en un shampoing, le résultat est le meme qu' avec un shampoing ET un après-shampoing d'une autre marque ! ","Je n'en vois pas ! Après je ne l'utilise qu'une fois sur 2.."
"496","Ravie de cette découverte (MLB) , le flacon me dure vraiment longtemps, je pense tester les autres shamp de la gamme que je trouve aussi bien que les Kerastase que j'utilise!","Convient parfaitement à mes cheveux colorés abimés La texture est onctueuse, pas besoin d'en mettre beaucoup pour que ça mousse L'odeur est agréable et mes cheveux restent beaux entre 2 shampooings sans graisser ou ternir Le flacon tient bien dans la main malgré sa taille!!","Le prix, honnêtement c'est cher... mais la contenance est là. Peut etre pas evident à trouver"
"497","","packaging odeur efficacité (ça nettoie bien les cheveux, les hydrate et les rends doux sans les alourdir)",""
"498","","","Produit bourrer de silicone laisse les cheveux secs"
"499","","Nourrit bien les cheveux, les rend plus doux et lisses. Parfum très agréable.",""
"500","Mes cheveux sont redevenu tout doux et plus beaux.","Agréable , répare vraiment bien les cheveux abîmé. Pas besoin de beaucoup de produit.",""
"501","Je ne racheterai plus,je le teouve chere,et la qualité c est boof,je prefere celui de la marque tigi","Son odeur","Le prix,je le trouve quand meme assez chére"
"502","Excellent shampooing je recommande meme sur cheveux tres fins","Hydrate,repare,n'alourdit pas du tout. Bonne rincabilité","Mousse peu Graisse un peu mes racines"
"503","Mes cheveux on pourtant tendance à grasser mais là pas dutout alors qu'il s'agit d'un shampoing pour cheveux secs. Il n'allourdit pas dutout.","Répare visiblement les cheveux, bonne odeur",""
"504","Un must-have ! Je l'associe toujours à l'après shampoing de la même gamme !","Mon chouchou !  Il rend les cheveux ultra doux et brillant ! Peu de produit suffit à chaque lavage.","Aucun !"
"505","Pas très convaincue par cet achat. ","Sur le coup les cheveux sont doux et soyeux  L'odeur est agréable","Graisse énormément les cheveux. Par ailleurs je m'attendais à quelque chose de bien plus spectaculaire compte tenu du prix de ce shampoing. La gamme Kerastase est bien plus efficace"
"506","je ne pensais pas qu un shampooing puisse avoir une telle efficacité sur mes cheveux abîmés et très secs.","Il laisse les cheveux souples,soyeux,visiblement plus beaux.","son prix !"
"507","J'utilise la gamme Redken All Soft depuis un an et j'en suis ravie. J'alterne avec un autre shampooing moins onéreux. Mes cheveux sont vraiment beaux et je ne cherche plus à changer de shampooing.","Texture qui se répartit et se rince facilement. Je l'utilise une fois par semaine, la bouteille dure longtemps malgré mes cheveux longs.","Néant"
"508","Rend les cheveux doux dès le shampoing alors avec le revitalisant c'est le summum pour mes cheveux! Le meilleur que j'ai utilisé jusqu'à maintenant pour mes cheveux très très long!","Sa grande efficacité Se rince très facilement Sens bon N'alourdie pas mes cheveux Besoin de peu de produit donc il dure longtemps","Niet"
"509","un shampoing qui enrobe bien les cheveux pour les adoucir mais il peut vite alourdir les cheveux fins car moi ayant les cheveux épais c'est limite...","une mousse onctueuse, les cheveux se démêlent bien, les cheveux sont doux post lavage","un peu trop riche car il regraisse mes cheveux plus vite qu'à l'habitude"
"510","Desseche carrément mes cheveux, aucuns effets positif du produit contrairement à la gamme lissante de la meme marque","Grande contenance Peu de produit suffit","Aucune éfficacité pour moi, au contraire! Cher vu l'éfficacité"
"511","Je le rachèterai. Il faut être patiente avant de voir les effets mais il en vaut la peine.","-Excellent effet au bout de plusiurs shampoings, cheveux très doux sans être alourdis. -Dure longtemps.","-Packaging un peu kitsch."
"512","Super shampoing qui associé au conditionner de la même gamme","Efficace Bonne presentation, trés classe qui ne gâche rien Le prix (acheté chez un grossiste) Rend mes cheveux reches et rebelles tout doux...un delice!!!","aucun"
"513","je suis très très déçue étant donné les commentaires que j'avais pu lire!!ce shampoing ne me plait pas du tout!!et il est super cher!!","aucun","rempli de silicones laisse mes cheveux tout collés chute des cheveux cheveux reches"
"514","","Odeur, texture","tendance a alourdir les cheveux"
"515","Très bon produit mais je le trouve un peu plus lourd que le color extent. Je lave mes cheveux tous les 2 jours: le 2e jour mes cheveux sont mieux qu'avec le Extreme mais un peu moins bien qu'avec le color extent (avec ce dernier mes cheveux respirent vraiment).","- lave bien - rends les cheveux doux et soyeux",""
"516","J'ai les cheveux long, bouclés et secs. Je l'associe avec le masque de la même gamme. Je sens mes cheveux moins abimés après le rinçage. Mais je mise ça sur les effets du masque.","- Respecte bien le cuir chevelu, j'ai espacé mes shampooing - Peu de shampooing suffit pour laver mes long cheveux - Odeur agréable","- Seul, je pense pas qu'il fasse des miracles - Prix"
"517","je lutilise combiné a lapres shampooing, mais meme seul, il est tres bien, je lai essayé aussi séparément ^^","douceur cheveux trres brillants brushing ou lissage facilité adoucit enormement nourrit","le prix..."
"518","je fais suivre de l'AS de la meme gamme pour un résultat top","- jolie texture rose - assouplit les cheveux sans les graisser ",""
"519","A essayer ça marche trop trop bien avec le reste de la gamme aussi !","Des la premiere utilisation un cheveu doux, démélé naturellement.","Pour personne aux cheveux sec y'en a pas! mais c'est sur que celle/celui qui l'utilisera avec des cheveux gras ça les alourdiras plus qu'autre chose MDR"
"520","Mon coiffeur à utilisé ce shampooing + le masque de la même gamme, bluffée par le résultat exceptionnel (avec un brushing lisse sur cheveux bouclés) j'ai essayé à la maison mais le résultat n'a rien à voir.   Cheveux lourds et plats, que ces soit bouclés naturellement ou après un brush, difficiles à coiffer.  Je ne le rachèterais pas, mais garde le masque qui est exceptionnel.","- Aucun pour moi car cheveux mixtes et bouclés (cuir chevelu gras et longueurs très sèches)","- Le prix - Inefficace sur cuir chevelu gras, les cheveux regraissent dès le lendemain - Rinçage très long - Alourdit les cheveux, effet plat sur cheveux longs et bouclés"
"521","très efficace en complément du conditionner et /ou du masque ""all soft ""","ouvre les écailles du cheveux pour y introduire des agents nourrissant, utiliser le conditionner ou le masque après sinon cheveux rêches car les écailles sont ouvertes"," le prix"
"522","C est un shampooing , pas un soin. je ne pense pas le racheter"," j'aime beaucoup son odeur, sa mousse est douce ","son prix!!! il ne me semble pas leilleurs qu un autre shampooing...et j ai l'impression que mes cheveux regraissent plus vite depuis que je l'utilise"
"523","je m'attendais a un resultat plus ""frappant"", mais bon sans plus, par contre le masque de la meme gamme est genail","- cheveux faciles a coiffer ","- le prix - odeur sans plus"
"524","j'ai voulu changer aprés plus d'un an d'absolut repair de l'oréal pro dont j'étais plutot satisfaite, j'aime bien ce shampoing mais beaucoup moin le masque de la même gamme","à chaque fois je suis surprise par l'agréable odeur n'enmele pas les cheveux nourri","le prix "
"525","bon shampoing, pas miraculeux non plus. La brillance n'est pas aussi geniale que annoncée","Tres doux N'alourdit pas les cheveux et ne graisse pas le cuir chevelu","ne dispense pas d'un AS ou masque"
